NxValues,dxValues,runTime,L2rho,orderRho,L2u,orderU,L2p,orderP,L2T,orderT,waveL2rho,waveOrderRho,waveL2u,waveOrderU,waveL2p,waveOrderP,waveL2T,waveOrderT,TpeakExcess
6250,0.0032,39.955373292,0.00196077387045596,NaN,0.00841952744547293,NaN,0.0018835873123139,NaN,0.0046744228153436,NaN,0.0104747933075679,NaN,0.0449785725256607,NaN,0.0100624493576393,NaN,0.0249715755399768,NaN,0.00204819276266033
12500,0.0016,85.273629959,0.00159360400472307,0.299129985879267,0.00659308869957233,0.35278477217137,0.00144327448423128,0.384137209955369,0.00364029311314121,0.360733616435014,0.00851330834988372,0.299129985879267,0.0352214206987683,0.35278477217137,0.00771022203845144,0.384137209955369,0.0194470757253869,0.360733616435014,0.000212881451139513
25000,0.0008,143.492873625,0.00125797197858049,0.341193391576758,0.0035832379069439,0.879690657062966,0.00111471533161481,0.372670368376555,0.00269615447836881,0.433151460337167,0.00672414306572902,0.340369465136016,0.01915321226155,0.878866730622225,0.00595840407812391,0.371846441935814,0.0144115518855319,0.432327533896425,8.11586975069112e-06
50000,0.0004,241.583434084,0.00113153643085725,0.152816752187884,0.00387127706460427,-0.111545730399404,0.00102318004244862,0.123615302337043,0.00242837490461241,0.150911990042092,0.00604831663560119,0.152816752187885,0.0206928463214644,-0.111545730399404,0.00546912737689651,0.123615302337042,0.0129802098567136,0.150911990042092,0.000329039929941155
