Limiter,GlobalL1_rho,GlobalL1_u,GlobalL1_p,GlobalL1_T,WaveL1_rho,WaveL1_u,WaveL1_p,WaveL1_T,T_peak_excess
"Minmod",0.000190357718735648,0.000381543309240241,0.000169056504486018,0.0002791802694701,0.00543258329722562,0.0108887930718914,0.00482467193164011,0.00796747344376443,0.000796475649164519
"MC",0.000131557583670118,0.000252307806151862,0.000118716728215949,0.000185126709484529,0.00375449725085617,0.00720056524406,0.0033880344810457,0.00528329650355088,0.00808778371360908
"Population hybrid",0.000158507605851134,0.000335199263036953,0.000143984015696761,0.000235507621777098,0.00452361888844158,0.0095661890136106,0.00410913286805403,0.00672110792742503,0.00465072291954471
"Macroscopic hybrid",0.000186463873889078,0.000373662050843377,0.000162917303360036,0.000278730140755928,0.00532145758815554,0.0106638713140233,0.00464946642008929,0.00795462730467527,0.00100502891425336
"Generalized minmod, \theta=1.20",0.000153421318104297,0.000315013510833942,0.000138492406894456,0.00022220848886259,0.00437846227466265,0.00899011161055769,0.00395240887255561,0.00634156646297042,0.00204819276266033
